audioTimeSec,isRunning,isOnTarget,rayOriginX,rayOriginY,rayOriginZ,rayDirX,rayDirY,rayDirZ,targetX,targetY,targetZ
0,0,0,0,-0.085,0.072,0,0,1,0,0,-3.5
0,0,0,0,-0.085,0.072,0,0,1,0,0,-3.5
0,0,0,0,-0.085,0.072,0,0,1,0,0,-3.5
0.747,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
0.789,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
0.811,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
0.832,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
0.853,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
0.875,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
0.896,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
0.939,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
1.131,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
1.152,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
1.173,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
1.195,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
1.216,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
1.237,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
1.259,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
1.28,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
1.323,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
1.344,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
1.365,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
1.387,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
1.408,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
1.429,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
1.451,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
1.493,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
1.515,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
1.536,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
1.557,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
1.579,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
1.6,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
1.6,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
1.643,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
1.664,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
1.685,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
1.707,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
1.728,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
1.749,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
1.771,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
1.813,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
1.835,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
1.856,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
1.877,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
1.899,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
1.941,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
1.963,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
1.984,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
2.005,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
2.027,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
2.048,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
2.069,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
2.091,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
2.112,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
2.133,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
2.155,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
2.176,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
2.197,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
2.219,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
2.261,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
2.304,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
2.325,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
2.347,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
2.368,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
2.389,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
2.411,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
2.432,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
2.453,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
2.475,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
2.517,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
2.539,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
2.56,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
2.56,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
2.581,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
2.603,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
2.624,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
2.645,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
2.667,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
2.688,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
2.731,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
2.752,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
2.773,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
2.795,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
2.816,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
2.837,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
2.88,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
2.901,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
2.923,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
2.944,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
2.965,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
2.987,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
3.008,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
3.029,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
3.051,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
3.072,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
3.093,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
3.136,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
3.157,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
3.179,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
3.2,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
3.2,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
3.221,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
3.243,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
3.264,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
3.307,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
3.328,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
3.349,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
3.371,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
3.392,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
3.413,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
3.435,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
3.456,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
3.477,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
3.499,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
3.52,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
3.541,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
3.563,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
3.605,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
3.627,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
3.648,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
3.669,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
3.691,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
