timeSec,targetXpx,targetYpx,cursorXpx,cursorYpx,errorPx,onBoard,contact,stamina
-0.079,0.52,-4.973,0,0,5,0,0,1
-0.036,1.04,-9.946,0,0,10,0,0,0.999
1.799,9.711,-92.827,0,0,93.333,0,0,0.998
2.524,18.381,-175.708,0,0,176.667,0,0,0.985
2.545,18.837,-180.065,0,0,181.047,0,0,0.971
2.567,19.308,-184.572,0,0,185.579,0,0,0.97
2.588,19.803,-189.306,0,0,190.339,0,0,0.97
2.609,20.362,-194.646,0,0,195.708,0,0,0.969
2.631,20.826,-199.083,0,0,200.169,0,0,0.968
2.631,21.268,-203.308,0,0,204.418,0,0,0.967
2.652,21.793,-208.324,0,0,209.461,0,0,0.967
2.673,22.241,-212.604,0,0,213.764,0,0,0.966
2.695,22.684,-216.846,0,0,218.029,0,0,0.965
2.716,23.226,-222.024,0,0,223.235,0,0,0.965
2.737,23.766,-227.186,0,0,228.425,0,0,0.964
2.759,24.256,-231.872,0,0,233.138,0,0,0.963
2.759,24.711,-236.214,0,0,237.503,0,0,0.962
2.801,25.266,-241.522,0,0,242.84,0,0,0.961
2.823,25.789,-246.521,0,0,247.867,0,0,0.961
2.844,26.272,-251.14,0,0,252.511,0,0,0.96
2.865,26.792,-256.108,0,0,257.506,0,0,0.959
2.887,27.35,-261.443,0,0,262.869,0,0,0.958
2.908,27.897,-266.67,0,0,268.125,0,0,0.957
2.908,28.392,-271.401,0,0,272.882,0,0,0.957
2.929,28.934,-276.589,0,0,278.098,0,0,0.956
2.951,29.471,-281.72,0,0,283.257,0,0,0.955
2.972,30.027,-287.031,0,0,288.598,0,0,0.954
2.993,30.603,-292.545,0,0,294.141,0,0,0.953
3.015,31.142,-297.698,0,0,299.322,0,0,0.952
3.036,31.59,-301.973,0,0,303.621,0,0,0.952
3.057,32.148,-307.312,0,0,308.989,0,0,0.951
3.079,32.667,-312.271,0,0,313.975,0,0,0.95
3.1,33.173,-317.106,0,0,318.836,0,0,0.949
3.121,33.746,-322.582,0,0,324.342,0,0,0.948
3.143,34.224,-327.159,0,0,328.944,0,0,0.948
3.164,34.679,-331.502,0,0,333.311,0,0,0.947
3.164,35.189,-336.378,0,0,338.214,0,0,0.946
3.185,35.667,-340.946,0,0,342.807,0,0,0.945
3.207,36.147,-345.534,0,0,347.419,0,0,0.945
3.228,36.688,-349.291,0,0,351.212,0,0,0.944
3.249,36.926,-344.688,0,0,346.66,0,0,0.943
3.271,37.168,-340.026,0,0,342.051,0,0,0.942
3.292,37.414,-335.265,0,0,337.346,0,0,0.942
3.313,37.689,-329.964,0,0,332.11,0,0,0.941
3.399,39.066,-303.369,0,0,305.874,0,0,0.94
3.42,39.326,-298.355,0,0,300.935,0,0,0.936
3.441,39.585,-293.347,0,0,296.006,0,0,0.935
3.463,39.817,-288.873,0,0,291.604,0,0,0.934
3.484,40.054,-284.289,0,0,287.097,0,0,0.933
3.505,40.303,-279.476,0,0,282.368,0,0,0.933
